Device_ID,Device_Type,Purchase_Date,Age,Manufacturer,Model,Country,Maintenance_Cost,Downtime,Maintenance_Frequency,Failure_Event_Count,Maintenance_Class,Maintenance_Report
MD04973,Infusion Pump,2/4/2017,8,UltraMed,Model-550,Canada,4312.011521,1.348912288,2,6,1,circuit failure caused operational delay; firmware update initiated. log cleaned temporary glitch
MD03055,X-Ray Machine,8/29/2018,7,MedEquip,Model-450,Japan,14086.92343,8.032403493,4,1,3,Routine check completed; sensor misalignment observed during diagnostics. critical failure urgent inspection needed
MD04970,CT Scanner,2/28/2016,9,ScanPro,Model-600,France,4293.662559,1.874038658,2,4,1,Component recalibration after detecting overheating; functionality restored. software reset quick fix
MD00875,Infusion Pump,6/9/2023,2,RescueTech,Model-150,France,5970.685199,8.060525818,3,9,1,System performance degraded due to abnormal sound; mitigation via system reset. log cleaned temporary glitch
MD01103,PET Scanner,9/5/2023,2,CardioSync,Model-100,Japan,6096.178998,15.23368714,1,3,3,software crash caused operational delay; software patch initiated. sensor replaced hardware fault
MD01087,Defibrillator,12/28/2017,8,RescueTech,Model-450,Italy,7327.312596,8.875251912,4,1,1,Routine check completed; abnormal sound observed during diagnostics. minor issue low priority fault
MD02218,PET Scanner,6/6/2017,8,RescueTech,Model-450,France,4886.093493,8.408252347,3,1,1,System performance degraded due to software crash; mitigation via replacement. software reset log file cleared
MD02470,X-Ray Machine,7/28/2015,10,CardioSync,Model-100,USA,6812.954776,10.89460683,2,0,1,voltage spike caused operational delay; inspection initiated. minor issue stable condition
MD01526,Infusion Pump,4/13/2014,11,ImagingTech,Model-650,UK,6215.336684,7.481187431,2,1,1,System performance degraded due to voltage spike; mitigation via system reset. quick fix log file cleared
MD02916,Defibrillator,2/11/2023,2,ScanPro,Model-400,France,1719.26676,4.213461189,2,1,1,Routine check completed; software crash observed during diagnostics. software reset system check passed
MD03720,X-Ray Machine,2/25/2022,3,UltraMed,Model-500,Italy,7795.895134,4.000932925,2,1,1,Routine check completed; abnormal sound observed during diagnostics. log cleaned minor issue
MD02925,Defibrillator,4/13/2023,2,CardioSync,Model-450,Italy,2152.47473,13.17327175,3,4,2,Routine check completed; sensor misalignment observed during diagnostics. component issue component review
MD03388,PET Scanner,12/30/2019,6,ImagingTech,Model-100,France,11373.18803,9.143138556,1,2,2,Routine check completed; battery wear observed during diagnostics. component issue non-critical warning
MD05481,PET Scanner,10/2/2016,9,MedEquip,Model-250,Canada,6493.840606,7.36726428,2,3,1,overheating caused operational delay; replacement initiated. quick fix stable condition
MD04893,X-Ray Machine,8/25/2021,4,ScanPro,Model-450,Canada,15145.50826,13.20124445,4,1,3,Routine check completed; sensor misalignment observed during diagnostics. reboot failed urgent inspection needed
MD00760,Infusion Pump,8/8/2018,7,MedEquip,Model-400,UK,3338.008795,8.353079443,5,1,3,sensor misalignment caused operational delay; replacement initiated. sensor replaced sensor replacement
MD02822,MRI Scanner,10/14/2019,6,ScanPro,Model-250,France,14131.24416,2.426710568,5,1,2,Component inspection after detecting circuit failure; functionality restored. reviewed logs non-critical warning
MD01974,X-Ray Machine,4/12/2016,9,ImagingTech,Model-350,UK,25219.23609,5.492357741,1,0,3,overheating caused operational delay; software patch initiated. sensor replaced critical failure
MD01251,X-Ray Machine,5/26/2015,10,ImagingTech,Model-550,Italy,2016.84373,3.832560068,2,1,2,Routine check completed; circuit failure observed during diagnostics. driver update average severity report
MD01934,MRI Scanner,8/7/2017,8,MedEquip,Model-400,Canada,16916.29325,26.36567519,3,2,3,Routine check completed; abnormal sound observed during diagnostics. critical failure system crash
MD03664,CT Scanner,4/17/2023,2,ImagingTech,Model-250,Japan,13689.21507,7.551035977,2,0,3,System performance degraded due to software crash; mitigation via software patch. critical failure sensor replacement
MD03879,CT Scanner,3/14/2023,2,UltraMed,Model-550,UK,4766.146903,3.570759859,3,1,2,battery wear caused operational delay; system reset initiated. component issue moderate delay
MD00866,X-Ray Machine,8/19/2013,12,CardioSync,Model-350,Canada,2822.271473,6.331224727,4,1,1,software crash caused operational delay; component upgrade initiated. software reset low priority fault
MD01491,MRI Scanner,12/12/2021,4,RescueTech,Model-450,Italy,6178.945849,3.236047599,1,1,1,System performance degraded due to abnormal sound; mitigation via firmware update. minor issue log file cleared
MD00480,MRI Scanner,7/2/2014,11,CardioSync,Model-200,USA,4250.403516,4.719825568,1,1,1,System performance degraded due to voltage spike; mitigation via firmware update. minor issue minor issue
MD03741,Infusion Pump,12/15/2018,7,MedEquip,Model-600,UK,2187.660525,13.7835859,1,1,2,data lag caused operational delay; replacement initiated. component issue driver update applied
MD04270,Infusion Pump,6/25/2015,10,ScanPro,Model-500,UK,3879.661386,7.33187352,1,6,2,Routine check completed; sensor misalignment observed during diagnostics. moderate delay performance warning
MD05305,Infusion Pump,3/29/2021,4,ScanPro,Model-550,Japan,10161.5417,7.917273301,5,1,2,Component replacement after detecting battery wear; functionality restored. driver update performance warning
MD04554,Defibrillator,1/2/2019,6,UltraMed,Model-600,Italy,2448.35145,26.6867733,5,3,3,battery wear caused operational delay; recalibration initiated. critical failure critical failure
MD00430,Defibrillator,3/23/2016,9,ImagingTech,Model-250,Canada,4188.039356,2.144952802,1,3,1,battery wear caused operational delay; firmware update initiated. software reset log file cleared
MD01156,Infusion Pump,4/21/2023,2,ImagingTech,Model-150,France,4419.909659,8.830708095,4,2,1,Component replacement after detecting voltage spike; functionality restored. minor issue temporary glitch
MD03378,X-Ray Machine,4/6/2015,10,RescueTech,Model-300,USA,14118.49393,11.56733258,3,2,3,sensor misalignment caused operational delay; recalibration initiated. critical failure system crash
MD05233,Infusion Pump,1/27/2020,5,RescueTech,Model-500,Japan,4367.170322,5.489516322,2,5,1,System performance degraded due to data lag; mitigation via system reset. software reset low priority fault
MD01496,Infusion Pump,10/15/2023,2,UltraMed,Model-450,Canada,33114.84972,23.90522244,2,2,3,System performance degraded due to voltage spike; mitigation via replacement. reboot failed critical malfunction
MD03382,CT Scanner,7/15/2019,6,UltraMed,Model-650,Canada,1358.021833,4.67973283,3,1,1,Component firmware update after detecting sensor misalignment; functionality restored. quick fix log file cleared
MD02276,MRI Scanner,12/23/2018,7,RescueTech,Model-150,USA,2436.568138,4.505806785,5,2,1,voltage spike caused operational delay; software patch initiated. log cleaned log file cleared
MD04343,X-Ray Machine,5/2/2023,2,ImagingTech,Model-650,Italy,6492.708759,2.453537257,1,2,1,System performance degraded due to circuit failure; mitigation via software patch. log cleaned stable condition
MD00138,X-Ray Machine,10/27/2016,9,ImagingTech,Model-250,UK,7558.269075,9.319317841,4,1,1,System performance degraded due to battery wear; mitigation via system reset. quick fix low priority fault
MD05344,PET Scanner,10/14/2015,10,RescueTech,Model-250,France,-3925.998614,14.81842452,5,4,2,Routine check completed; overheating observed during diagnostics. moderate delay average severity report
MD03351,Defibrillator,5/8/2019,6,RescueTech,Model-550,Italy,19431.51292,13.33482875,1,1,3,System performance degraded due to circuit failure; mitigation via inspection. critical failure hardware fault
MD05448,CT Scanner,3/18/2014,11,MedEquip,Model-500,France,4769.272971,4.444543189,1,1,1,sensor misalignment caused operational delay; component upgrade initiated. software reset system check passed
MD04171,CT Scanner,3/25/2016,9,RescueTech,Model-600,Italy,7409.761717,4.868275801,5,1,1,Routine check completed; circuit failure observed during diagnostics. minor issue stable condition
MD01107,X-Ray Machine,3/16/2017,8,RescueTech,Model-100,Japan,3317.822746,2.738256891,1,1,1,Component software patch after detecting abnormal sound; functionality restored. software reset stable condition
MD03601,CT Scanner,2/19/2016,9,ScanPro,Model-100,UK,8353.801796,15.54431449,2,0,2,software crash caused operational delay; component upgrade initiated. reviewed logs performance warning
MD03042,Infusion Pump,3/23/2018,7,ImagingTech,Model-250,UK,17861.0132,19.35738313,4,1,3,Component replacement after detecting abnormal sound; functionality restored. sensor replaced urgent inspection needed
MD05197,PET Scanner,4/24/2016,9,UltraMed,Model-200,Japan,5652.163122,12.48966686,2,1,2,software crash caused operational delay; recalibration initiated. moderate delay average severity report
MD04276,Infusion Pump,3/26/2020,5,CardioSync,Model-400,Japan,1892.443132,2.891648163,1,3,1,System performance degraded due to software crash; mitigation via inspection. quick fix quick fix
MD04582,PET Scanner,1/20/2014,11,ImagingTech,Model-250,UK,510.0021217,7.015308432,2,3,2,Routine check completed; overheating observed during diagnostics. reviewed logs non-critical warning
MD00183,Infusion Pump,1/16/2020,5,ScanPro,Model-400,Canada,23500.02991,13.90981385,5,2,3,Component component upgrade after detecting overheating; functionality restored. data loss critical failure
MD01874,X-Ray Machine,6/25/2013,12,MedEquip,Model-550,UK,16090.55929,4.247012901,3,2,2,Component software patch after detecting overheating; functionality restored. reviewed logs component review
MD02291,PET Scanner,9/13/2022,3,CardioSync,Model-200,Italy,13461.30105,5.244816011,1,2,3,Routine check completed; battery wear observed during diagnostics. reboot failed sensor replacement
MD01473,Defibrillator,5/17/2021,4,MedEquip,Model-500,UK,17732.0392,27.72455244,2,0,3,System performance degraded due to sensor misalignment; mitigation via system reset. data loss emergency shutdown
MD04436,PET Scanner,10/4/2015,10,ImagingTech,Model-300,USA,20652.63278,9.714373158,5,3,3,Component replacement after detecting overheating; functionality restored. data loss system crash
MD02029,MRI Scanner,5/8/2016,9,CardioSync,Model-150,France,19527.35368,4.370314837,3,3,3,abnormal sound caused operational delay; inspection initiated. reboot failed high priority failure
MD01834,Defibrillator,12/10/2016,9,UltraMed,Model-400,USA,4245.247468,6.902138614,4,1,2,System performance degraded due to software crash; mitigation via recalibration. driver update driver update applied
MD01890,X-Ray Machine,2/10/2019,6,ScanPro,Model-200,Canada,7413.15698,12.23883291,5,4,2,sensor misalignment caused operational delay; system reset initiated. reviewed logs non-critical warning
MD00766,MRI Scanner,10/14/2019,6,ImagingTech,Model-150,Canada,2733.610608,12.50045286,3,2,2,Routine check completed; abnormal sound observed during diagnostics. driver update performance warning
MD00060,CT Scanner,11/3/2019,6,CardioSync,Model-500,Italy,8832.886302,15.07082958,2,2,2,sensor misalignment caused operational delay; system reset initiated. reviewed logs moderate delay
MD04497,Infusion Pump,7/5/2020,5,UltraMed,Model-150,USA,5441.773807,7.314327078,4,5,1,System performance degraded due to sensor misalignment; mitigation via firmware update. log cleaned temporary glitch
MD00218,PET Scanner,12/14/2020,5,RescueTech,Model-200,UK,14486.44081,6.095290814,4,2,2,Routine check completed; sensor misalignment observed during diagnostics. moderate delay device required inspection
MD00605,X-Ray Machine,8/9/2014,11,RescueTech,Model-200,Japan,18630.97361,9.437645967,2,1,3,Routine check completed; software crash observed during diagnostics. data loss critical failure
MD03054,CT Scanner,10/2/2013,12,UltraMed,Model-200,Japan,5910.57017,4.624923922,5,3,2,System performance degraded due to voltage spike; mitigation via firmware update. component issue moderate delay
MD02772,MRI Scanner,10/4/2023,2,ImagingTech,Model-200,USA,9924.393157,13.23619851,1,2,3,Routine check completed; abnormal sound observed during diagnostics. reboot failed emergency shutdown
MD00245,PET Scanner,1/3/2024,1,ImagingTech,Model-500,Canada,18553.64808,17.2149344,5,5,3,System performance degraded due to overheating; mitigation via inspection. data loss critical malfunction
MD04295,CT Scanner,4/3/2017,8,CardioSync,Model-350,France,11441.43691,17.65876264,5,0,2,Routine check completed; abnormal sound observed during diagnostics. moderate delay moderate delay
MD01690,Defibrillator,2/20/2021,4,UltraMed,Model-400,USA,3834.515226,2.119638238,2,3,1,Routine check completed; voltage spike observed during diagnostics. minor issue system check passed
MD01338,MRI Scanner,6/22/2022,3,RescueTech,Model-250,Japan,2099.915184,3.146629822,1,3,1,Routine check completed; software crash observed during diagnostics. quick fix quick fix
MD01833,X-Ray Machine,12/29/2021,4,CardioSync,Model-300,Italy,11706.2843,8.686603368,1,3,2,Component system reset after detecting abnormal sound; functionality restored. driver update average severity report
MD00178,Infusion Pump,9/20/2022,3,ScanPro,Model-500,UK,3530.97739,5.054603271,2,1,1,circuit failure caused operational delay; firmware update initiated. software reset log file cleared
MD04233,X-Ray Machine,12/22/2022,3,CardioSync,Model-200,USA,9655.831262,4.111797169,3,2,2,circuit failure caused operational delay; inspection initiated. driver update moderate delay
MD00287,PET Scanner,8/27/2022,3,MedEquip,Model-150,Canada,13014.24377,18.46320043,3,1,2,System performance degraded due to sensor misalignment; mitigation via software patch. component issue device required inspection
MD03920,Defibrillator,3/13/2023,2,MedEquip,Model-150,Japan,4975.743137,5.264457459,5,4,1,System performance degraded due to data lag; mitigation via recalibration. log cleaned minor issue
MD01400,Infusion Pump,10/10/2019,6,ImagingTech,Model-200,Canada,9745.862334,5.823517041,4,5,1,sensor misalignment caused operational delay; inspection initiated. log cleaned stable condition
MD04874,Infusion Pump,9/5/2023,2,MedEquip,Model-550,France,3400.271787,11.67825026,3,1,1,Routine check completed; circuit failure observed during diagnostics. quick fix routine reset
MD00989,X-Ray Machine,10/30/2017,8,RescueTech,Model-300,Japan,7029.199837,6.475137847,5,2,1,Routine check completed; voltage spike observed during diagnostics. log cleaned minor issue
MD00234,Defibrillator,9/30/2015,10,ImagingTech,Model-200,Canada,4231.063307,4.669164075,2,2,1,Component software patch after detecting software crash; functionality restored. minor issue log file cleared
MD04692,PET Scanner,1/4/2015,10,MedEquip,Model-550,France,6516.829343,4.435253786,1,0,1,data lag caused operational delay; system reset initiated. minor issue system check passed
MD00009,MRI Scanner,7/27/2017,8,RescueTech,Model-500,Italy,8474.905711,14.76945665,3,4,2,Component recalibration after detecting voltage spike; functionality restored. driver update performance warning
MD01952,MRI Scanner,9/27/2023,2,MedEquip,Model-500,Italy,4275.745641,7.387593927,1,4,1,System performance degraded due to sensor misalignment; mitigation via inspection. minor issue stable condition
MD01284,Infusion Pump,6/12/2017,8,UltraMed,Model-100,France,15205.1285,4.584952279,2,3,2,Component component upgrade after detecting data lag; functionality restored. driver update driver update applied
MD00450,Infusion Pump,10/24/2017,8,MedEquip,Model-500,Italy,10288.79151,12.09761729,4,1,2,Routine check completed; abnormal sound observed during diagnostics. component issue non-critical warning
MD00212,Infusion Pump,6/28/2016,9,ImagingTech,Model-500,UK,6249.239709,5.646882009,5,3,1,Component firmware update after detecting battery wear; functionality restored. minor issue temporary glitch
MD02377,Infusion Pump,12/25/2023,2,ImagingTech,Model-300,UK,4098.60569,10.99171569,1,0,2,Routine check completed; voltage spike observed during diagnostics. component issue non-critical warning
MD01684,MRI Scanner,2/13/2021,4,UltraMed,Model-350,UK,4913.91106,6.908476771,2,2,3,abnormal sound caused operational delay; component upgrade initiated. reboot failed urgent inspection needed
MD02500,MRI Scanner,11/7/2015,10,UltraMed,Model-100,Canada,12393.1249,18.95456729,5,0,3,Component system reset after detecting software crash; functionality restored. sensor replaced critical malfunction
MD01565,CT Scanner,5/26/2015,10,ScanPro,Model-250,Italy,6751.954262,5.528615812,4,0,1,Component inspection after detecting battery wear; functionality restored. quick fix system check passed
MD00214,MRI Scanner,6/12/2022,3,ImagingTech,Model-550,Canada,11559.9242,13.35587294,2,3,2,Component replacement after detecting circuit failure; functionality restored. driver update device required inspection
MD03098,Defibrillator,4/20/2015,10,RescueTech,Model-600,Italy,14316.76544,19.03090442,1,3,3,Component firmware update after detecting data lag; functionality restored. critical failure critical failure
MD03485,PET Scanner,10/2/2014,11,ImagingTech,Model-100,USA,7010.05172,8.160569221,1,1,2,System performance degraded due to data lag; mitigation via inspection. component issue moderate delay
MD05346,Infusion Pump,1/5/2017,8,UltraMed,Model-650,Canada,3511.843684,2.705731708,1,1,2,Component replacement after detecting circuit failure; functionality restored. moderate delay non-critical warning
MD00106,Infusion Pump,4/5/2017,8,CardioSync,Model-200,France,4340.952243,5.264835077,1,1,1,Component firmware update after detecting battery wear; functionality restored. software reset minor issue
MD00651,MRI Scanner,6/26/2017,8,CardioSync,Model-600,Japan,2994.069641,2.852084981,5,1,1,Component software patch after detecting battery wear; functionality restored. software reset quick fix
MD02684,PET Scanner,2/2/2016,9,CardioSync,Model-250,UK,16712.04743,23.25761336,3,0,3,Routine check completed; data lag observed during diagnostics. sensor replaced urgent inspection needed
MD02193,Infusion Pump,9/13/2022,3,MedEquip,Model-350,UK,11596.88782,6.279325089,1,1,2,Component component upgrade after detecting software crash; functionality restored. moderate delay average severity report
MD05383,X-Ray Machine,9/21/2022,3,ImagingTech,Model-450,Japan,1580.337668,16.41461499,5,1,2,System performance degraded due to circuit failure; mitigation via component upgrade. reviewed logs device required inspection
MD05499,Infusion Pump,11/29/2013,12,ScanPro,Model-650,Italy,3415.36131,1.92343767,5,4,1,System performance degraded due to software crash; mitigation via inspection. quick fix routine reset
MD03928,Infusion Pump,6/11/2018,7,RescueTech,Model-100,Canada,11659.20673,20.72507994,2,3,3,battery wear caused operational delay; recalibration initiated. data loss emergency shutdown
MD01342,Infusion Pump,10/4/2022,3,ImagingTech,Model-350,Japan,-243.7629729,16.06649097,5,4,2,circuit failure caused operational delay; firmware update initiated. driver update performance warning
MD00109,Infusion Pump,2/23/2019,6,ScanPro,Model-500,UK,8094.546477,6.552115542,1,2,2,abnormal sound caused operational delay; software patch initiated. driver update non-critical warning
MD02055,Infusion Pump,9/25/2018,7,CardioSync,Model-100,USA,19552.53691,11.2345873,5,0,3,Component system reset after detecting circuit failure; functionality restored. data loss urgent inspection needed
MD00260,PET Scanner,9/8/2020,5,RescueTech,Model-550,Canada,9807.609462,7.223015938,4,2,2,Routine check completed; software crash observed during diagnostics. component issue component review
MD03467,MRI Scanner,6/11/2016,9,RescueTech,Model-450,UK,6393.70989,19.0753841,5,2,3,Routine check completed; data lag observed during diagnostics. critical failure hardware fault
MD02710,X-Ray Machine,10/12/2018,7,ImagingTech,Model-200,Canada,1571.576064,2.565179901,5,4,1,Component recalibration after detecting sensor misalignment; functionality restored. minor issue temporary glitch
MD02236,CT Scanner,7/28/2021,4,ScanPro,Model-650,Canada,5046.05353,10.54812089,4,5,1,data lag caused operational delay; component upgrade initiated. log cleaned low priority fault
MD02433,X-Ray Machine,8/27/2014,11,RescueTech,Model-450,Canada,10159.53846,21.72338367,3,1,3,voltage spike caused operational delay; replacement initiated. critical failure sensor replacement
MD02458,Defibrillator,10/30/2013,12,CardioSync,Model-100,USA,22230.90963,13.90315722,4,4,3,System performance degraded due to sensor misalignment; mitigation via inspection. data loss emergency shutdown
MD02048,Infusion Pump,8/18/2013,12,CardioSync,Model-600,Italy,7460.59885,5.495317102,4,2,1,System performance degraded due to battery wear; mitigation via software patch. software reset log file cleared
MD04983,Infusion Pump,2/4/2017,8,ScanPro,Model-400,France,1652.692998,2.293236871,5,0,1,data lag caused operational delay; replacement initiated. software reset quick fix
MD03100,PET Scanner,9/2/2020,5,MedEquip,Model-150,USA,9144.41859,15.34964751,5,0,2,System performance degraded due to voltage spike; mitigation via recalibration. component issue driver update applied
MD01800,PET Scanner,10/7/2018,7,CardioSync,Model-600,Japan,17354.82178,3.549582877,2,6,3,Component software patch after detecting software crash; functionality restored. critical failure high priority failure
MD01836,Defibrillator,6/4/2013,12,RescueTech,Model-650,Canada,6945.809699,9.314825798,4,2,1,System performance degraded due to sensor misalignment; mitigation via system reset. log cleaned minor issue
MD01260,X-Ray Machine,8/4/2014,11,UltraMed,Model-250,France,3128.637198,15.58501856,5,2,2,Routine check completed; overheating observed during diagnostics. reviewed logs moderate delay
MD02488,CT Scanner,5/5/2021,4,MedEquip,Model-250,France,5350.112337,3.571306997,4,2,2,Routine check completed; voltage spike observed during diagnostics. reviewed logs non-critical warning
MD03540,MRI Scanner,2/10/2021,4,ImagingTech,Model-150,USA,3082.580531,4.72029681,2,3,1,System performance degraded due to battery wear; mitigation via software patch. quick fix low priority fault
MD03429,PET Scanner,1/12/2021,4,ImagingTech,Model-200,France,4445.976678,4.782550743,4,3,1,software crash caused operational delay; replacement initiated. minor issue quick fix
MD01611,PET Scanner,9/13/2023,2,MedEquip,Model-150,UK,10565.80821,27.045096,1,0,3,System performance degraded due to voltage spike; mitigation via firmware update. sensor replaced emergency shutdown
MD04802,Defibrillator,2/28/2014,11,ImagingTech,Model-400,Canada,3230.214538,3.992688531,1,1,1,Routine check completed; sensor misalignment observed during diagnostics. software reset log file cleared
MD01682,X-Ray Machine,9/18/2021,4,ImagingTech,Model-650,UK,13083.87384,7.086621155,3,1,2,Component inspection after detecting sensor misalignment; functionality restored. reviewed logs performance warning
MD03410,Defibrillator,1/3/2024,1,RescueTech,Model-350,Japan,5884.844798,2.715759668,5,3,1,Component firmware update after detecting voltage spike; functionality restored. minor issue minor issue
MD02759,MRI Scanner,2/23/2014,11,MedEquip,Model-650,USA,15948.51492,3.320573781,3,0,2,Component component upgrade after detecting overheating; functionality restored. component issue driver update applied
MD04596,Defibrillator,3/31/2014,11,CardioSync,Model-450,UK,759.5423288,9.186720141,2,5,1,data lag caused operational delay; replacement initiated. log cleaned minor issue
MD02786,PET Scanner,9/9/2020,5,CardioSync,Model-550,Japan,4303.483763,3.573248024,3,0,1,System performance degraded due to battery wear; mitigation via replacement. software reset low priority fault
MD02353,MRI Scanner,8/8/2016,9,MedEquip,Model-100,USA,21548.06198,32.96808194,1,5,3,Component system reset after detecting abnormal sound; functionality restored. critical failure system crash
MD05292,X-Ray Machine,1/3/2023,2,RescueTech,Model-300,Canada,9783.708684,8.248375103,3,2,1,voltage spike caused operational delay; system reset initiated. log cleaned low priority fault
MD05098,PET Scanner,3/18/2023,2,ImagingTech,Model-500,France,3685.378935,1.993392108,1,2,1,System performance degraded due to overheating; mitigation via firmware update. minor issue routine reset
MD02641,Infusion Pump,2/17/2021,4,ScanPro,Model-300,USA,8369.203846,8.179712662,1,3,2,Routine check completed; software crash observed during diagnostics. moderate delay non-critical warning
MD04826,Infusion Pump,9/25/2020,5,MedEquip,Model-200,UK,7744.921471,2.032542857,3,1,2,Component replacement after detecting data lag; functionality restored. reviewed logs device required inspection
MD01960,CT Scanner,7/14/2023,2,MedEquip,Model-400,UK,2936.952114,1.165393604,4,4,1,Routine check completed; abnormal sound observed during diagnostics. quick fix minor issue
MD04998,Infusion Pump,12/19/2016,9,MedEquip,Model-600,Japan,23983.91799,5.564217424,5,4,3,abnormal sound caused operational delay; system reset initiated. sensor replaced hardware fault
MD04500,PET Scanner,1/8/2019,6,UltraMed,Model-250,Canada,-724.541672,17.35051516,2,2,3,Routine check completed; abnormal sound observed during diagnostics. sensor replaced critical malfunction
MD04895,X-Ray Machine,9/24/2014,11,ImagingTech,Model-250,Canada,5196.845085,8.130983694,4,2,1,overheating caused operational delay; component upgrade initiated. software reset log file cleared
MD04659,Infusion Pump,3/14/2018,7,CardioSync,Model-400,Japan,-2339.458538,11.08040956,5,1,2,System performance degraded due to circuit failure; mitigation via firmware update. reviewed logs driver update applied
MD02576,MRI Scanner,3/12/2015,10,MedEquip,Model-650,France,6686.596542,5.130837239,1,2,2,Routine check completed; battery wear observed during diagnostics. driver update driver update applied
MD04707,Defibrillator,8/26/2014,11,MedEquip,Model-250,UK,4813.957272,5.131077728,3,0,3,abnormal sound caused operational delay; firmware update initiated. critical failure critical failure
MD01060,X-Ray Machine,10/14/2014,11,ImagingTech,Model-500,Japan,6798.97413,31.06185339,2,1,3,Routine check completed; software crash observed during diagnostics. sensor replaced sensor replacement
MD02408,X-Ray Machine,1/2/2014,11,ImagingTech,Model-500,Canada,5504.306921,12.7890904,1,0,2,Routine check completed; data lag observed during diagnostics. component issue average severity report
MD01168,Defibrillator,12/9/2013,12,MedEquip,Model-150,Italy,9471.598751,5.140178495,3,2,3,voltage spike caused operational delay; inspection initiated. critical failure hardware fault
MD04139,MRI Scanner,12/12/2022,3,ScanPro,Model-350,Canada,19590.87993,17.69353254,5,1,3,battery wear caused operational delay; system reset initiated. reboot failed critical failure
MD04126,Defibrillator,10/20/2019,6,ImagingTech,Model-600,USA,7950.621794,6.19176147,2,0,1,System performance degraded due to voltage spike; mitigation via component upgrade. quick fix quick fix
MD03712,MRI Scanner,8/15/2023,2,ScanPro,Model-200,France,-2721.284602,12.43975961,5,4,2,Routine check completed; battery wear observed during diagnostics. driver update performance warning
MD05099,Defibrillator,9/12/2016,9,UltraMed,Model-250,Italy,8424.568264,3.978989348,1,3,1,Component inspection after detecting voltage spike; functionality restored. minor issue temporary glitch
MD05071,CT Scanner,8/19/2015,10,ImagingTech,Model-500,Canada,2606.614549,6.088706687,5,2,1,overheating caused operational delay; firmware update initiated. minor issue log file cleared
MD03169,CT Scanner,6/1/2020,5,RescueTech,Model-450,Italy,4246.509869,3.675948812,5,2,1,abnormal sound caused operational delay; firmware update initiated. quick fix quick fix
MD05392,CT Scanner,8/11/2017,8,CardioSync,Model-200,Japan,3546.486312,2.81863513,1,4,1,Routine check completed; data lag observed during diagnostics. quick fix log file cleared
MD03865,PET Scanner,12/30/2015,10,ScanPro,Model-450,Japan,16164.4419,21.93012244,2,1,3,System performance degraded due to software crash; mitigation via inspection. sensor replaced urgent inspection needed
MD00916,PET Scanner,10/10/2021,4,MedEquip,Model-250,France,3435.261905,10.33808445,4,3,1,Routine check completed; abnormal sound observed during diagnostics. log cleaned system check passed
